"Relation<span aria-hidden=""true"" style=""display: none;""> .","a<span aria-hidden=""true"" style=""display: none;""> .","b<span aria-hidden=""true"" style=""display: none;""> .","c<span aria-hidden=""true"" style=""display: none;""> ."
M–Z,−7.50 ± 1.76,3.04 ± 0.35,−0.140 ± 0.018
M–SFR,−13.95 ± 0.47,1.415 ± 0.046,–
M–sSFR,−4.22 ± 0.79,−0.555 ± 0.079,–
"Relation<span aria-hidden=""true"" style=""display: none;""> .","a<span aria-hidden=""true"" style=""display: none;""> .","b<span aria-hidden=""true"" style=""display: none;""> .","c<span aria-hidden=""true"" style=""display: none;""> ."
M–Z,−7.50 ± 1.76,3.04 ± 0.35,−0.140 ± 0.018
M–SFR,−13.95 ± 0.47,1.415 ± 0.046,–
M–sSFR,−4.22 ± 0.79,−0.555 ± 0.079,–
"Relation<span aria-hidden=""true"" style=""display: none;""> .","a<span aria-hidden=""true"" style=""display: none;""> .","b<span aria-hidden=""true"" style=""display: none;""> .","c<span aria-hidden=""true"" style=""display: none;""> ."
M–Z,−7.50 ± 1.76,3.04 ± 0.35,−0.140 ± 0.018
M–SFR,−13.95 ± 0.47,1.415 ± 0.046,–
M–sSFR,−4.22 ± 0.79,−0.555 ± 0.079,–
"Relation<span aria-hidden=""true"" style=""display: none;""> .","a<span aria-hidden=""true"" style=""display: none;""> .","b<span aria-hidden=""true"" style=""display: none;""> .","c<span aria-hidden=""true"" style=""display: none;""> ."
M–Z,−7.50 ± 1.76,3.04 ± 0.35,−0.140 ± 0.018
M–SFR,−13.95 ± 0.47,1.415 ± 0.046,–
M–sSFR,−4.22 ± 0.79,−0.555 ± 0.079,–
